1603746900000,13028.64000000,13037.21000000,13021.65000000,13024.37000000,203.11667200,1603747799999,2646131.38026525,7031,99.19207300,1292280.75433801,0
1603747800000,13024.38000000,13046.66000000,13020.95000000,13029.90000000,327.19715200,1603748699999,4265733.40394653,6422,137.75976500,1796089.20791804,0
1603748700000,13029.81000000,13029.81000000,13007.49000000,13013.72000000,205.47349600,1603749599999,2674912.50080791,4403,94.69864200,1232766.97414341,0
1603749600000,13013.72000000,13026.88000000,12983.26000000,12997.66000000,241.97635100,1603750499999,3145901.45846359,4155,75.60587000,983083.32658374,0
1603750500000,12997.66000000,13034.26000000,12997.66000000,13034.25000000,252.73112400,1603751399999,3288890.64867982,5088,155.29689200,2021045.46338476,0
1603751400000,13034.25000000,13036.45000000,13012.55000000,13028.51000000,201.42498900,1603752299999,2623767.30418223,4342,94.04691600,1225068.98704946,0
1603752300000,13028.51000000,13043.21000000,13010.54000000,13043.21000000,298.10275300,1603753199999,3883354.42766078,4141,133.00742000,1732620.28388327,0
1603753200000,13043.21000000,13058.87000000,13033.50000000,13055.76000000,332.60858000,1603754099999,4339900.33681785,5872,145.08804900,1893099.95970098,0
1603754100000,13055.75000000,13080.00000000,13055.47000000,13067.61000000,542.94304500,1603754999999,7095573.08328348,6694,260.07558000,3398775.66639131,0
1603755000000,13067.61000000,13086.42000000,13065.85000000,13071.31000000,442.53382500,1603755899999,5785757.97537757,4602,285.54926800,3733122.33190222,0
1603755900000,13071.31000000,13072.66000000,13051.69000000,13052.19000000,277.83446100,1603756799999,3628904.12280868,4150,109.41581900,1429098.45944107,0
1603756800000,13052.15000000,13090.00000000,13019.87000000,13086.44000000,536.54685100,1603757699999,7009329.13165356,7183,276.61324900,3613399.23473702,0
1603757700000,13086.45000000,13118.78000000,13076.51000000,13117.24000000,622.58085900,1603758599999,8152246.28653121,8076,342.61513500,4486226.11274183,0
1603758600000,13117.24000000,13129.19000000,13075.50000000,13093.73000000,631.02129200,1603759499999,8270390.41851054,6549,376.98815100,4941723.22280312,0
1603759500000,13093.73000000,13099.70000000,13078.91000000,13092.89000000,224.56530600,1603760399999,2939083.58717009,4227,109.48984500,1432966.22282923,0
1603760400000,13092.89000000,13098.92000000,13064.57000000,13067.90000000,192.62321200,1603761299999,2518870.01039228,3459,90.04275900,1177524.76874475,0
1603761300000,13067.90000000,13078.61000000,13058.67000000,13074.96000000,315.78736600,1603762199999,4127573.90101797,4306,131.65744200,1720880.18763784,0
1603762200000,13074.96000000,13097.45000000,13071.09000000,13094.76000000,394.02594600,1603763099999,5153503.45259981,5383,144.13584200,1885319.12599628,0
1603763100000,13094.76000000,13107.00000000,13085.97000000,13094.12000000,199.42651300,1603763999999,2611723.95030017,3743,66.98674100,877263.48027009,0
1603764000000,13094.12000000,13125.44000000,13094.12000000,13112.31000000,292.99387200,1603764899999,3842875.57019791,5181,138.62824200,1818079.33050605,0
1603764900000,13112.31000000,13112.31000000,13080.46000000,13091.42000000,345.17103500,1603765799999,4519122.86404410,5998,155.27487900,2032822.42739023,0
1603765800000,13091.43000000,13121.75000000,13081.42000000,13112.21000000,299.18711700,1603766699999,3919325.11350385,4849,145.79677500,1910045.19454710,0
1603766700000,13112.21000000,13112.22000000,13054.37000000,13071.89000000,417.22812300,1603767599999,5457504.38998971,6549,144.29816400,1887085.83808274,0
1603767600000,13071.89000000,13105.47000000,13071.51000000,13101.84000000,197.14098300,1603768499999,2580767.57429396,4234,95.03062000,1244041.42580826,0
1603768500000,13101.84000000,13113.93000000,13076.20000000,13079.67000000,306.61204500,1603769399999,4016061.28860686,5304,122.01134500,1598157.83972015,0
1603769400000,13079.66000000,13090.65000000,13063.24000000,13079.86000000,236.98370500,1603770299999,3098177.61915175,4380,141.68954900,1852366.99095163,0
1603770300000,13079.86000000,13095.00000000,13069.83000000,13083.24000000,331.62112800,1603771199999,4338510.07339298,4093,193.18234200,2527266.73495648,0
1603771200000,13083.24000000,13111.40000000,13083.24000000,13106.27000000,310.68364100,1603772099999,4069956.54252204,5796,195.69582800,2563548.72545052,0
1603772100000,13105.88000000,13112.67000000,13090.79000000,13098.46000000,213.55192700,1603772999999,2798164.95637856,4174,85.32775500,1118170.68455903,0
1603773000000,13098.45000000,13102.04000000,13093.86000000,13099.62000000,167.80790600,1603773899999,2198123.30426562,2367,74.37784700,974240.68223172,0
1603773900000,13099.63000000,13125.00000000,13099.60000000,13124.60000000,408.77338800,1603774799999,5361299.85049369,3640,171.12500200,2244181.43333010,0
1603774800000,13124.61000000,13144.49000000,13109.47000000,13109.77000000,411.94305500,1603775699999,5407792.72324406,5451,184.77052000,2426161.60711769,0
1603775700000,13109.77000000,13114.03000000,13080.24000000,13082.68000000,362.39320200,1603776599999,4746779.89909300,5031,117.61963600,1540509.49884526,0
1603776600000,13082.68000000,13101.46000000,13082.68000000,13087.83000000,232.33082100,1603777499999,3041842.19244411,3840,109.70002800,1436239.72241752,0
1603777500000,13087.84000000,13111.69000000,13087.23000000,13088.65000000,440.66940900,1603778399999,5773302.49400535,4997,174.44208800,2285671.72155006,0
1603778400000,13088.66000000,13095.63000000,13070.77000000,13088.61000000,410.92864900,1603779299999,5375297.73940828,5575,162.52698400,2125750.77179964,0
1603779300000,13088.60000000,13100.72000000,13073.95000000,13078.71000000,284.39695200,1603780199999,3722594.35847048,3346,105.08194700,1375462.14859277,0
1603780200000,13078.70000000,13085.00000000,13061.01000000,13084.56000000,395.36961400,1603781099999,5167040.05467482,5091,178.99588100,2339295.67302459,0
